,产品名称,产品名称(EN),产品型号,SKU/产品码,物料ID,UPC,产品类型,重量（千克）,体积（立方米）,长（厘米）,宽（厘米）,深度（厘米）,是否为危险品？,备注,,,,,,,,,,,,,,,,,,,
,Product Name,Product Name,Model Name,SKU/Product Code,Material ID,,,Weight (kg),Volume (cu.m),Length (cm),Width (cm),Depth (cm),Dangerous Goods?,Notes,,,,,,,,,,,,,,,,,,,
,KineMON 5 寸遮阳罩,KineMON Sunhood 5'',MONSH,A612-501-01,9-110-502-01,6153056599517,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineMON 7 寸遮阳罩,KineMON Sunhood 7'',MONSH,A612-502-01,9-110-502-02,6153050768773,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineEVF 寻像器海绵眼罩,KineEVF Eyecushion,KEC1,A612-506-01,9-110-503-01,6153050868855,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kinefinity NATO滑条,Kinefinity NATO Rail,KRV8,K611-008-01,9-611-008-01,757200089724,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,6寸 强力怪手/万向支撑,"6"" Strong Arm",MONS1,A612-509-01,9-563-001-00,6153050077042,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,7寸 强力怪手/万向支撑,"7"" Strong Arm",MONS1,A612-509-02,9-563-001-01,6153056679660,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USB-C线缆（C2C，25cm）,"USB-C Cable C25 (C2C, 25cm)",KCC1,K611-005-01,9-611-005-01,757200089594,线缆;电子寻像器,,,,,,,,,,,,,,,,,,,,,,,,,,
,USB-C 10Gbps数据线,KineMAG USB-C 10Gbps Cable,KCC2,A633-001-01,9-555-000-00,6153057960934,线缆;存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineBAT 99,PD KineBAT 99,KBV31,A430-001-01,9-430-001-01,6153054393308,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineBAT 99 两电一充,PD KineBAT 99 x2 + 65W PD Power Adapter x1,KBV31,A943-001-01,P-430-001-01,6153050466471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineBAT 200,PD KineBAT 200,KBV32,A430-002-01,9-430-002-01,6153050858832,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineBAT 200 两电两充,PD KineBAT 200 x2 + 65W PD Power Adapter x2,KBV32,A943-002-01,P-430-002-01,6153055543528,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2S,GripBAT 2S,GBF10,A410-201-01,9-410-201-01,,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2S x4,GripBAT 2S x4,GBF10,A941-201-01,P-532-000-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2S 两电一充,GripBAT 2S x2 + PD Hybrid Dual Charger Pack x1,GBF10,A941-202-01,P-532-000-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2S 四电一充,GripBAT 2S x4 + PD Hybrid Dual Charger Pack x1,GBF10,A941-203-01,P-532-000-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2Si,GripBAT 2Si,GBF20,A410-201-02,9-410-201-02,6153053738742,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2Si x4,GripBAT 2Si x4,GBF20,A941-201-02,P-941-201-02,6153050382382,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2Si 两电一充,GripBAT 2Si x2 + PD Hybrid Dual Charger Pack x1,GBF20,A941-202-02,P-941-202-02,6153055616628,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 2Si 四电一充,GripBAT 2Si x4 + PD Hybrid Dual Charger Pack x1,GBF20,A941-203-02,P-941-203-02,6153055789735,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 4S,GripBAT 4S,GBU10,A410-202-01,9-410-202-01,6153054237275,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,GripBAT 4S 两电一充,GripBAT 4S x2 + PD Hybrid Dual Charger Pack x1,GBU10,A941-204-01,P-531-100-01,6153050521521,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PD混合双路充电器,PD Hybrid Dual Charger,PHC10,A410-100-01,9-410-100-01,6153050468406,电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,PD混合双路充电器 + 65W PD电源适配器,PD Hybrid Dual Charger Pack,PHC10,A941-301-01,P-533-000-00,6153053172171,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65W PD电源适配器,65W PD Power Adapter,PPA13,A410-301-01,9-410-301-02,6153057111138,电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,100W电源线(1B2P),100W Power Cord 1B,PC21,A641-001-01,9-554-000-00,6153055187173,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,100W电源线(0B2P),100W Power Cord 0B,PC21,A641-001-02,9-554-000-01,6153055187173,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100W电源线(1B2P) + 65W PD电源适配器,100W Power Cord 1B + 65W PD Power Adapter,PC21,A941-001-01,P-554-000-00,6153052783750,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100W电源线(0B2P) + 65W PD电源适配器,100W Power Cord 0B + 65W PD Power Adapter,PC21,A941-001-02,P-554-000-01,6153052783750,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge KineKIT 套件,Movcam KineKIT-Edge,MEP1,A601-901-01,9-601-901-01,6153055394373,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,封闭式上手提,Movcam Enclosed Top Handgrip,MET1,A601-911-01,9-601-911-01,6153053150155,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edge套件上顶板,Movcam Top Plate,MET2,A601-912-01,9-601-912-01,6153056026020,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,侧面NATO导轨,Movcam NATO Slider on Top Plate,MET3,A601-913-01,9-601-913-01,6153056022091,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edge套件侧支撑,Movcam Side Support,MET4,A601-914-01,9-601-914-01,6153054587578,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edge套件UPS底座,Movcam UPS Baseplate,MET5,A601-915-01,9-601-915-01,6153053312348,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineMON 旋转固定座,Movcam KineMON Swivel Mount,MET6,A612-503-01,9-612-503-01,6153055615669,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,KineMON 冷靴口固定座,KineMON Coldshoe Mount,MET7,A612-504-01,9-581-000-00,6153052652612,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movcam 15mm铝管,"Al Rod of 15mm diameter, 200mm Length",M151,A601-916-01,9-601-916-01,6153050875884,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,碳纤维上手提,Movcam Carbon Fiber Handgrip,MTH1,A601-918-01,9-601-918-01,6153053176100,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,碳纤维上手提 带NATO滑条,Movcam Carbon Fiber Top Handgrip (w/ NATO Slider),MTH1,A601-918-02,9-601-918-02,6153051961968,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movcam 轻型燕尾槽底板,Movcam Sliding Dovetail Plate,MDP1,A601-917-01,9-601-917-01,6153050383303,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,寻像器迷你支架,E-Viewfinder Mini Mount,KRV1,A613-507-01,9-613-507-01,,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,寻像器支架,E-Viewfinder Rod Mount,KRV2,A612-508-01,9-612-508-01,,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toprig 供电底板NP-F,Accsoon Toprig Battery Plate,ACC04-P,ACC04-P,9-594-027-01,664918772147,电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kinefinity电动改锥,Kinefinity Screwdriver,TSD1,A710-001-02,9-710-001-02,6153054214207,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 M码,"Kinefinity T-shirt (MAVO Edge 8K, M)",TSE1,A710-101-01,9-710-101-01,6153056425472,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 L码,"Kinefinity T-shirt (MAVO Edge 8K, L)",TSE1,A710-101-02,9-710-101-02,6153051241299,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 XL码,"Kinefinity T-shirt (MAVO Edge 8K, XL)",TSE1,A710-101-03,9-710-101-03,6153050680655,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 XXL码,"Kinefinity T-shirt (MAVO Edge 8K, XXL)",TSE1,A710-101-04,9-710-101-04,6153053081084,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K T恤衫 3XL码,"Kinefinity T-shirt (MAVO Edge 8K, 3XL)",TSE1,A710-101-05,9-710-101-05,6153050016010,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAVO Edge 8K帆布包,Kinefinity Bag (MAVO Edge 8K),TSE2,A710-201-01,9-710-201-01,6153050186195,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kine LOGO徽章,Kinefinity Badge (Logo),TLG1,A710-202-01,9-710-202-01,6153052153140,周边,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kine LOGO贴,Logo Tag x5,TLG2,A710-301-01,9-710-301-01,6153054731773,周边,,,,,,,,,,,,,,,,,,,,,,,,,,