#,产品名称,产品名称(EN),产品型号,SKU/产品码,序列号前缀,物料ID,产品类型,重量（千克）,体积（立方米）,长（厘米）,宽（厘米）,深度（厘米）,是否为危险品？,备注,,,,,,,,,,,,,,,,,,
,Product Name,Product Name,Model Name,SKU/Product Code,Serial Number(SN) Prefix,Material ID,,Weight (kg),Volume (cu.m),Length (cm),Width (cm),Depth (cm),Dangerous Goods?,Notes,,,,,,,,,,,,,,,,,,
讯道摄像机及配件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MC5030 4K讯道摄像机,MC5030 4K Live System Camera,MC5030,A020-001-01,EFC_1,9-020-001-01,广电摄像机,,,,,,,"S35, B4X卡口",,,,,,,,,,,,,,,,,,
2,MC6030 4K讯道摄像机,MC6030 4K Live System Camera,MC6030,A020-002-01,EFC_2,9-020-002-01,广电摄像机,,,,,,,"S35, 6K, PL卡口",,,,,,,,,,,,,,,,,,
3,MC8030 8K讯道摄像机,MC8030 8K Live System Camera,MC8030,A020-003-01,EFC_3,9-020-003-01,广电摄像机,,,,,,,"FF, 8K, PL卡口",,,,,,,,,,,,,,,,,,
4,CCU5000 4K摄像机控制单元,CCU5000 4K Camera Control Unit,CCU5000,A020-101-01,EFU_1,9-020-101-01,广电摄像机,,,,,,,,,,,,,,,,,,,,,,,,,
5,CCU6000 4K摄像机控制单元,CCU6000 4K Camera Control Unit,CCU6000,A020-102-01,EFU_2,9-020-102-01,广电摄像机,,,,,,,,,,,,,,,,,,,,,,,,,
6,CCU8000 4K摄像机控制单元,CCU8000 4K Camera Control Unit,CCU8000,A020-103-01,EFU_3,9-020-103-01,广电摄像机,,,,,,,,,,,,,,,,,,,,,,,,,
7,RCP300 控制面板,RCP300 Control Panel,RCP300,A602-002-01,RCP_1,9-602-002-01,广电摄像机;附件,,,,,,,,,,,,,,,,,,,,,,,,,
8,KineMON-7E 7寸高亮LCD寻像器,KineMON-7E 7” Ultra Bright Viewfinder,MON23,A120-202-01,MON2_3,9-120-202-01,广电摄像机;监视器,,,,,,,基于7U2改进的7E,,,,,,,,,,,,,,,,,,
多用途摄像机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M503 4K多用途摄像机,M503 4K Multi-purpose Camera,M503,A030-001-01,MPC_1,9-030-001-01,广电摄像机,,,,,,,"S35, B4X卡口",,,,,,,,,,,,,,,,,,
2,M603 4K多用途摄像机,M603 4K Multi-purpose Camera,M603,A030-002-01,MPC_2,9-030-002-01,广电摄像机,,,,,,,"S35, 6K, PL卡口, 原M503",,,,,,,,,,,,,,,,,,
3,M603KP 4K多用途摄像机,M603KP 4K Multi-purpose Camera,M603KP,A030-002-02,MPC_21,9-030-002-02,广电摄像机,,,,,,,"S35, 6K, PL卡口, 原M503KP，，for 科旭威尔",,,,,,,,,,,,,,,,,,
4,M606 4K多用途摄像机,M606 4K Multi-purpose Camera,M606,A030-003-01,MPC_3,9-030-003-01,广电摄像机,,,,,,,"FF, 6K, PL卡口",,,,,,,,,,,,,,,,,,
5,M606KP 4K多用途摄像机,M606KP 4K Multi-purpose Camera,M606KP,A030-003-02,MPC_31,9-030-003-02,广电摄像机,,,,,,,"FF, 6K, PL卡口，for 科旭威尔",,,,,,,,,,,,,,,,,,
6,M803 8K多用途摄像机,M803 8K Multi-purpose Camera,M803,A030-004-01,MPC_4,9-030-004-01,广电摄像机,,,,,,,"FF, 8K, PL卡口, 原M820",,,,,,,,,,,,,,,,,,
授权,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,扩展SDI 12G授权,EXT SDI 12G License,BC-LICENSE,A520-001-01,,,授权,,,,,,,SDI I/O 1和2 从3G SDI到12G SDI：对应的摄像机和CCU上；对于讯道机5030有效,,,,,,,,,,,,,,,,,,
2,返送SDI 12G授权,RET SDI 12G License,BC-LICENSE,A520-002-01,,,授权,,,,,,,RET 输入，从3G到12G：对应的CCU上,,,,,,,,,,,,,,,,,,
3,录制 & 高速授权,Record & HiSpeed License,BC-LICENSE,A520-003-01,,,授权,,,,,,,录制 & 高速 选项；2TB卡两张,,,,,,,,,,,,,,,,,,
4,双光传输授权,Dual Fiberlink License,BC-LICENSE,A520-004-01,,,授权,,,,,,,Dual Fiberlink端口：摄像机和CCU上,,,,,,,,,,,,,,,,,,